n_components,min_cluster_size_pct,min_cluster_size,min_samples,n_clusters,noise_pct,silhouette_score,dbi_score
4,0.05,1072,536,5,0.03988803358992302,0.48358628153800964,1.4205018573423873
4,0.05,1072,268,5,0.03568929321203639,0.4849061369895935,1.3690235305371072
4,0.05,1072,107,5,0.03568929321203639,0.4849061369895935,1.3690235305371072
4,0.05,1072,54,5,0.03568929321203639,0.4849061369895935,1.3690235305371072
4,0.025,536,268,7,0.010450198273851179,0.4897487461566925,0.8762470554166613
4,0.025,536,134,7,0.010450198273851179,0.48980817198753357,0.876206250582698
4,0.025,536,54,7,0.010450198273851179,0.48980817198753357,0.876206250582698
4,0.025,536,27,13,0.08178213202705854,0.4763112962245941,1.295037253741286
4,0.01,214,107,7,0.010450198273851179,0.48980817198753357,0.876206250582698
4,0.01,214,54,7,0.010450198273851179,0.48980817198753357,0.876206250582698
4,0.01,214,21,14,0.051177979939351526,0.503323495388031,1.314877514761343
4,0.01,214,11,14,0.047632376953580594,0.5061666369438171,1.322201133371578
4,0.005,107,54,26,0.05747609050618148,0.4932589530944824,1.1508564163087334
4,0.005,107,27,38,0.06391415908560764,0.4510912001132965,1.1233242160732135
4,0.005,107,11,41,0.06190809423839515,0.437701016664505,1.1609918016555296
4,0.005,107,5,52,0.07077210170282248,0.4221057891845703,1.0332523039082926
6,0.05,1072,536,5,0.04161418241194308,0.4716821014881134,1.5854912930455418
6,0.05,1072,268,5,0.03568929321203639,0.4728485941886902,1.433249937142601
6,0.05,1072,107,5,0.03568929321203639,0.4728485941886902,1.433249937142601
6,0.05,1072,54,7,0.051271285281082345,0.5323538184165955,1.4988966481473045
6,0.025,536,268,5,0.03568929321203639,0.4728485941886902,1.433249937142601
6,0.025,536,134,6,0.010450198273851179,0.4893282949924469,0.8581105261141075
6,0.025,536,54,10,0.03648238861674831,0.5360406637191772,1.3054855299745733
6,0.025,536,27,12,0.06340097970608817,0.48498040437698364,1.3351303315883123
6,0.01,214,107,14,0.09493818521110334,0.46988725662231445,1.131386210334149
6,0.01,214,54,14,0.07235829251224632,0.48076096177101135,1.2255601353773748
6,0.01,214,21,14,0.05024492652204339,0.4929307997226715,1.2750857089456367
6,0.01,214,11,16,0.059015628644739915,0.4719419777393341,1.2706347217972158
6,0.005,107,54,28,0.05747609050618148,0.46968621015548706,1.1477505165570927
6,0.005,107,27,38,0.06172148355493352,0.4440028965473175,1.0994887393366604
6,0.005,107,11,52,0.08472125029157919,0.42590489983558655,1.0268700005607883
6,0.005,107,5,42,0.04884534639608117,0.46389448642730713,1.0555335004537136
8,0.05,1072,536,5,0.044599953347329135,0.47082236409187317,1.5698215392046821
8,0.05,1072,268,5,0.03559598787030557,0.4727131426334381,1.3371384028491644
8,0.05,1072,107,5,0.03559598787030557,0.4727131426334381,1.3371384028491644
8,0.05,1072,54,6,0.03559598787030557,0.5071458220481873,1.2732509725147894
8,0.025,536,268,6,0.05309073944483322,0.48318377137184143,1.5870136931145786
8,0.025,536,134,5,0.03559598787030557,0.4727131426334381,1.3371384028491644
8,0.025,536,54,8,0.046326102169349195,0.4743485152721405,1.444836118747119
8,0.025,536,27,9,0.04595288080242594,0.506554901599884,1.4073456880339283
8,0.01,214,107,8,0.0298110566829951,0.4988705813884735,1.65950195421269
8,0.01,214,54,14,0.07385117797993936,0.47985705733299255,1.2559740869299776
8,0.01,214,21,15,0.07221833449965011,0.4652997851371765,1.3062715750251228
8,0.01,214,11,25,0.08794028458129229,0.44589948654174805,1.3100283651062499
8,0.005,107,54,24,0.06643340331233963,0.4782204329967499,1.2331139994548752
8,0.005,107,27,49,0.08621413575927221,0.4208042323589325,1.0971929097381676
8,0.005,107,11,51,0.08220200606484722,0.4268377721309662,1.0809737438463112
8,0.005,107,5,56,0.08276183811523209,0.4203796088695526,1.0846691474995445
10,0.05,1072,536,5,0.03960811756473058,0.4862752854824066,1.3098642408529246
10,0.05,1072,268,5,0.0357359458829018,0.48772621154785156,1.201363405905352
10,0.05,1072,107,5,0.03568929321203639,0.487748920917511,1.1997960943355848
10,0.05,1072,54,6,0.046326102169349195,0.5068088173866272,1.376935039338847
10,0.025,536,268,6,0.0357359458829018,0.48877766728401184,1.1203302910371553
10,0.025,536,134,6,0.03568929321203639,0.48880040645599365,1.1188810065634789
10,0.025,536,54,12,0.10702122696524376,0.471512109041214,1.3361970126043825
10,0.025,536,27,12,0.09521810123629577,0.48037707805633545,1.3383086778594975
10,0.01,214,107,7,0.01880102635875904,0.5012413859367371,1.2257224838020937
10,0.01,214,54,14,0.07203172381618847,0.5082911252975464,1.2799034866714094
10,0.01,214,21,13,0.05523676230464194,0.501105010509491,1.318803911147756
10,0.01,214,11,22,0.08500116631677164,0.4595581591129303,1.2149188575300243
10,0.005,107,54,25,0.05971541870772102,0.5094556212425232,1.0111227317412317
10,0.005,107,27,38,0.07100536505714952,0.48068657517433167,1.106391200098688
10,0.005,107,11,62,0.109913692558899,0.3955345153808594,1.0534726836416175
10,0.005,107,5,46,0.06974574294378354,0.4515911042690277,1.042439336065143
